Id_cost,governorate,city,category,item,avg_price_egp,min_price_egp,max_price_egp
1361,Port Said,Port Said,Restaurants,"Meal for Two at a Mid-Range Restaurant (Three Courses, Without Drinks)",800,500,1500
1362,Port Said,Port Said,Restaurants,Combo Meal at McDonald's (or Equivalent Fast-Food Meal),250,200,360
1363,Port Said,Port Said,Restaurants,Domestic Draft Beer (0.5 Liter),72.5,60,110
1364,Port Said,Port Said,Restaurants,Imported Beer (0.33 Liter Bottle),150,90,200
1365,Port Said,Port Said,Restaurants,Cappuccino (Regular Size),64.12,30,120
1366,Port Said,Port Said,Restaurants,"Soft Drink (Coca-Cola or Pepsi, 0.33 Liter Bottle)",16.38,15,20
1367,Port Said,Port Said,Restaurants,Bottled Water (0.33 Liter),6,5,10
1368,Port Said,Port Said,Markets,"Milk (Regular, 1 Liter)",35.33,21,50
1369,Port Said,Port Said,Markets,Fresh White Bread (500 g Loaf),39.57,20,120
1370,Port Said,Port Said,Markets,White Rice (1 kg),33.52,26,90
1371,Port Said,Port Said,Markets,"Eggs (12, Large Size)",61.17,36,72
1372,Port Said,Port Said,Markets,Local Cheese (1 kg),208.12,70,500
1373,Port Said,Port Said,Markets,Chicken Fillets (1 kg),166.67,100,250
1374,Port Said,Port Said,Markets,Beef Round or Equivalent Back Leg Red Meat (1 kg),426.67,400,500
1375,Port Said,Port Said,Markets,Apples (1 kg),72.11,40,90
1376,Port Said,Port Said,Markets,Bananas (1 kg),33.82,25,50
1377,Port Said,Port Said,Markets,Oranges (1 kg),22.69,10,35
1378,Port Said,Port Said,Markets,Tomatoes (1 kg),17.04,10,30
1379,Port Said,Port Said,Markets,Potatoes (1 kg),17.08,7,30
1380,Port Said,Port Said,Markets,Onions (1 kg),18.57,10,30
1381,Port Said,Port Said,Markets,Lettuce (1 Head),11.67,5,30
1382,Port Said,Port Said,Markets,Bottled Water (1.5 Liter),9,7,12
1383,Port Said,Port Said,Markets,Bottle of Wine (Mid-Range),300,150,500
1384,Port Said,Port Said,Markets,Domestic Beer (0.5 Liter Bottle),66,60,90
